method_name,num_params,line_number,num_calls,num_locals,num_returns,num_invocations,body_size,num_control_structures,full_name
getZValue,1,Some(424),1,0,1,1,11,0,CH.ifa.draw.standard.AbstractFigure.getZValue:int()
setZValue,2,Some(431),2,0,0,2,14,0,CH.ifa.draw.standard.AbstractFigure.setZValue:void(int)
visit,2,Some(435),18,4,0,18,56,3,CH.ifa.draw.standard.AbstractFigure.visit:<unresolvedSignature>(1)
getDependendFigures,1,Some(465),4,1,1,4,19,0,CH.ifa.draw.standard.AbstractFigure.getDependendFigures:<unresolvedSignature>(0)
addDependendFigure,2,Some(469),2,0,0,2,14,0,CH.ifa.draw.standard.AbstractFigure.addDependendFigure:<unresolvedSignature>(1)
removeDependendFigure,2,Some(473),2,0,0,2,14,0,CH.ifa.draw.standard.AbstractFigure.removeDependendFigure:<unresolvedSignature>(1)
getTextHolder,1,Some(477),0,0,1,0,9,0,CH.ifa.draw.standard.AbstractFigure.getTextHolder:<unresolvedSignature>(0)
getDecoratedFigure,1,Some(481),0,0,1,0,9,0,CH.ifa.draw.standard.AbstractFigure.getDecoratedFigure:<unresolvedSignature>(0)
<clinit>,0,Some(40),3,0,0,3,10,0,CH.ifa.draw.standard.AbstractFigure.<clinit>:void()
<init>,1,Some(33),0,0,0,0,7,0,org.columba.mail.main.MailInterface.<init>:void()
<init>,1,Some(59),0,0,0,0,7,0,org.columba.core.logging.ColumbaLogger.<init>:void()
userHasDefinedLogging,0,Some(67),2,0,1,2,11,0,org.columba.core.logging.ColumbaLogger.userHasDefinedLogging:boolean()
createDefaultHandler,0,Some(76),28,3,0,28,78,3,org.columba.core.logging.ColumbaLogger.createDefaultHandler:void()
createDefaultFileHandler,0,Some(111),28,4,0,28,83,6,org.columba.core.logging.ColumbaLogger.createDefaultFileHandler:void()
<clinit>,0,Some(52),3,0,0,3,11,0,org.columba.core.logging.ColumbaLogger.<clinit>:void()
compareTypes,2,Some(55),2,0,3,2,25,2,org.eclipse.jdt.internal.compiler.lookup.Scope.compareTypes:int(org.eclipse.jdt.internal.compiler.ast.TypeBinding,org.eclipse.jdt.internal.compiler.ast.TypeBinding)
getBaseType,1,Some(63),114,1,10,114,320,18,org.eclipse.jdt.internal.compiler.lookup.Scope.getBaseType:org.eclipse.jdt.internal.compiler.ast.TypeBinding(char[])
substitute,2,Some(129),22,3,2,22,91,6,org.eclipse.jdt.internal.compiler.lookup.Scope.substitute:<unresolvedSignature>(2)
substitute,2,Some(158),114,17,9,114,386,27,org.eclipse.jdt.internal.compiler.lookup.Scope.substitute:org.eclipse.jdt.internal.compiler.ast.TypeBinding(org.eclipse.jdt.internal.compiler.ast.Substitution,org.eclipse.jdt.internal.compiler.ast.TypeBinding)
substitute,2,Some(251),21,3,2,21,89,6,org.eclipse.jdt.internal.compiler.lookup.Scope.substitute:<unresolvedSignature>(2)
<init>,3,Some(269),4,0,0,4,21,0,org.eclipse.jdt.internal.compiler.lookup.Scope.<init>:void(int,org.eclipse.jdt.internal.compiler.lookup.Scope)
boxing,2,Some(277),3,0,2,3,20,1,org.eclipse.jdt.internal.compiler.lookup.Scope.boxing:org.eclipse.jdt.internal.compiler.ast.TypeBinding(org.eclipse.jdt.internal.compiler.ast.TypeBinding)
classScope,1,Some(283),6,1,2,6,32,2,org.eclipse.jdt.internal.compiler.lookup.Scope.classScope:org.eclipse.jdt.internal.compiler.ast.ClassScope()
compilationUnitScope,1,Some(293),7,2,1,7,32,1,org.eclipse.jdt.internal.compiler.lookup.Scope.compilationUnitScope:org.eclipse.jdt.internal.compiler.ast.CompilationUnitScope()
compilerOptions,1,Some(306),3,0,1,3,14,0,org.eclipse.jdt.internal.compiler.lookup.Scope.compilerOptions:org.eclipse.jdt.internal.compiler.impl.CompilerOptions()
computeCompatibleMethod,4,Some(317),81,11,9,81,280,17,org.eclipse.jdt.internal.compiler.lookup.Scope.computeCompatibleMethod:<unresolvedSignature>(3)
connectTypeVariables,2,Some(371),169,12,3,169,483,30,org.eclipse.jdt.internal.compiler.lookup.Scope.connectTypeVariables:<unresolvedSignature>(1)
createArrayType,3,Some(476),7,1,2,7,34,1,org.eclipse.jdt.internal.compiler.lookup.Scope.createArrayType:org.eclipse.jdt.internal.compiler.ast.ArrayBinding(org.eclipse.jdt.internal.compiler.ast.TypeBinding,int)
createTypeVariables,3,Some(483),45,7,2,45,144,5,org.eclipse.jdt.internal.compiler.lookup.Scope.createTypeVariables:<unresolvedSignature>(2)
enclosingClassScope,1,Some(529),6,1,2,6,31,2,org.eclipse.jdt.internal.compiler.lookup.Scope.enclosingClassScope:org.eclipse.jdt.internal.compiler.ast.ClassScope()
enclosingMethodScope,1,Some(537),6,1,2,6,31,2,org.eclipse.jdt.internal.compiler.lookup.Scope.enclosingMethodScope:org.eclipse.jdt.internal.compiler.ast.MethodScope()
enclosingReferenceContext,1,Some(549),14,1,4,14,57,2,org.eclipse.jdt.internal.compiler.lookup.Scope.enclosingReferenceContext:org.eclipse.jdt.internal.compiler.impl.ReferenceContext()
enclosingSourceType,1,Some(566),8,1,2,8,36,2,org.eclipse.jdt.internal.compiler.lookup.Scope.enclosingSourceType:org.eclipse.jdt.internal.compiler.ast.SourceTypeBinding()
environment,1,Some(575),7,2,1,7,29,1,org.eclipse.jdt.internal.compiler.lookup.Scope.environment:org.eclipse.jdt.internal.compiler.ast.LookupEnvironment()
findDefaultAbstractMethod,8,Some(583),74,15,7,74,281,18,org.eclipse.jdt.internal.compiler.lookup.Scope.findDefaultAbstractMethod:<unresolvedSignature>(7)
findDirectMemberType,3,Some(650),20,4,4,20,80,3,org.eclipse.jdt.internal.compiler.lookup.Scope.findDirectMemberType:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding(char[],org.eclipse.jdt.internal.compiler.ast.ReferenceBinding)
findExactMethod,5,Some(670),37,3,4,37,124,5,org.eclipse.jdt.internal.compiler.lookup.Scope.findExactMethod:<unresolvedSignature>(4)
findField,5,Some(713),150,21,12,150,541,41,org.eclipse.jdt.internal.compiler.lookup.Scope.findField:org.eclipse.jdt.internal.compiler.ast.FieldBinding(org.eclipse.jdt.internal.compiler.ast.TypeBinding,char[],org.eclipse.jdt.internal.compiler.ast.InvocationSite,boolean)
findMemberType,3,Some(842),130,19,9,130,451,32,org.eclipse.jdt.internal.compiler.lookup.Scope.findMemberType:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding(char[],org.eclipse.jdt.internal.compiler.ast.ReferenceBinding)
findMethod,5,Some(950),273,38,16,273,960,71,org.eclipse.jdt.internal.compiler.lookup.Scope.findMethod:<unresolvedSignature>(4)
findMethodForArray,5,Some(1186),62,9,9,62,247,15,org.eclipse.jdt.internal.compiler.lookup.Scope.findMethodForArray:<unresolvedSignature>(4)
findMethodInSuperInterfaces,5,Some(1244),78,7,1,78,247,13,org.eclipse.jdt.internal.compiler.lookup.Scope.findMethodInSuperInterfaces:org.eclipse.jdt.internal.compiler.ast.MethodBinding(org.eclipse.jdt.internal.compiler.ast.ReferenceBinding,char[],org.eclipse.jdt.internal.compiler.util.ObjectVector,org.eclipse.jdt.internal.compiler.ast.MethodBinding)
findType,4,Some(1305),14,2,3,14,61,3,org.eclipse.jdt.internal.compiler.lookup.Scope.findType:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding(char[],org.eclipse.jdt.internal.compiler.ast.PackageBinding,org.eclipse.jdt.internal.compiler.ast.PackageBinding)
findVariable,2,Some(1322),0,0,1,0,11,0,org.eclipse.jdt.internal.compiler.lookup.Scope.findVariable:org.eclipse.jdt.internal.compiler.ast.LocalVariableBinding(char[])
getBinding,5,Some(1346),243,33,16,243,813,57,org.eclipse.jdt.internal.compiler.lookup.Scope.getBinding:org.eclipse.jdt.internal.compiler.ast.Binding(char[],int,org.eclipse.jdt.internal.compiler.ast.InvocationSite,boolean)
getConstructor,4,Some(1568),74,13,7,74,268,16,org.eclipse.jdt.internal.compiler.lookup.Scope.getConstructor:<unresolvedSignature>(3)
getCurrentPackage,1,Some(1628),7,2,1,7,29,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getCurrentPackage:org.eclipse.jdt.internal.compiler.ast.PackageBinding()
getDeclarationModifiers,1,Some(1639),31,4,5,31,111,9,org.eclipse.jdt.internal.compiler.lookup.Scope.getDeclarationModifiers:int()
getField,4,Some(1668),13,2,2,13,61,3,org.eclipse.jdt.internal.compiler.lookup.Scope.getField:org.eclipse.jdt.internal.compiler.ast.FieldBinding(org.eclipse.jdt.internal.compiler.ast.TypeBinding,char[],org.eclipse.jdt.internal.compiler.ast.InvocationSite)
getImplicitMethod,4,Some(1696),269,36,12,269,918,69,org.eclipse.jdt.internal.compiler.lookup.Scope.getImplicitMethod:<unresolvedSignature>(3)
getJavaIoSerializable,1,Some(1939),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaIoSerializable:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangAnnotationAnnotation,1,Some(1948),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangAnnotationAnnotation:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangAssertionError,1,Some(1957),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangAssertionError:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangClass,1,Some(1965),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangClass:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangCloneable,1,Some(1974),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangCloneable:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangEnum,1,Some(1982),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangEnum:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangIterable,1,Some(1991),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangIterable:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangObject,1,Some(1999),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangObject:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangString,1,Some(2008),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangString:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaLangThrowable,1,Some(2017),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaLangThrowable:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getJavaUtilIterator,1,Some(2025),9,1,2,9,33,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getJavaUtilIterator:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding()
getMemberType,3,Some(2036),6,2,2,6,36,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getMemberType:org.eclipse.jdt.internal.compiler.ast.ReferenceBinding(char[],org.eclipse.jdt.internal.compiler.ast.ReferenceBinding)
getMethod,5,Some(2042),58,8,10,58,227,11,org.eclipse.jdt.internal.compiler.lookup.Scope.getMethod:<unresolvedSignature>(4)
getPackage,2,Some(2097),46,7,7,46,153,7,org.eclipse.jdt.internal.compiler.lookup.Scope.getPackage:org.eclipse.jdt.internal.compiler.ast.Binding(char[][])
getType,2,Some(2132),6,1,2,6,31,1,org.eclipse.jdt.internal.compiler.lookup.Scope.getType:org.eclipse.jdt.internal.compiler.ast.TypeBinding(char[])
getType,3,Some(2143),27,5,5,27,100,4,org.eclipse.jdt.internal.compiler.lookup.Scope.getType:org.eclipse.jdt.internal.compiler.ast.TypeBinding(char[],org.eclipse.jdt.internal.compiler.ast.PackageBinding)
getType,3,Some(2171),87,15,10,87,297,16,org.eclipse.jdt.internal.compiler.lookup.Scope.getType:org.eclipse.jdt.internal.compiler.ast.TypeBinding(char[][],int)
getTypeOrPackage,3,Some(2242),289,36,24,289,968,77,org.eclipse.jdt.internal.compiler.lookup.Scope.getTypeOrPackage:org.eclipse.jdt.internal.compiler.ast.Binding(char[],int)
getTypeOrPackage,2,Some(2466),80,12,8,80,261,16,org.eclipse.jdt.internal.compiler.lookup.Scope.getTypeOrPackage:org.eclipse.jdt.internal.compiler.ast.Binding(char[][])
greaterLowerBound,1,Some(2529),42,7,5,42,169,16,org.eclipse.jdt.internal.compiler.lookup.Scope.greaterLowerBound:<unresolvedSignature>(1)
greaterLowerBound,1,Some(2564),42,7,5,42,169,16,org.eclipse.jdt.internal.compiler.lookup.Scope.greaterLowerBound:<unresolvedSignature>(1)
innermostSwitchCase,1,Some(2601),7,1,2,7,34,2,org.eclipse.jdt.internal.compiler.lookup.Scope.innermostSwitchCase:org.eclipse.jdt.internal.compiler.ast.CaseStatement()
isBoxingCompatibleWith,3,Some(2611),6,0,1,6,23,0,org.eclipse.jdt.internal.compiler.lookup.Scope.isBoxingCompatibleWith:boolean(org.eclipse.jdt.internal.compiler.ast.TypeBinding,org.eclipse.jdt.internal.compiler.ast.TypeBinding)
isDefinedInField,2,Some(2619),9,2,2,9,45,3,org.eclipse.jdt.internal.compiler.lookup.Scope.isDefinedInField:boolean(org.eclipse.jdt.internal.compiler.ast.FieldBinding)
isDefinedInMethod,2,Some(2633),12,2,2,12,54,4,org.eclipse.jdt.internal.compiler.lookup.Scope.isDefinedInMethod:boolean(org.eclipse.jdt.internal.compiler.ast.MethodBinding)
isDefinedInSameUnit,2,Some(2649),19,4,2,19,69,4,org.eclipse.jdt.internal.compiler.lookup.Scope.isDefinedInSameUnit:boolean(org.eclipse.jdt.internal.compiler.ast.ReferenceBinding)
isDefinedInType,2,Some(2670),9,1,2,9,43,3,org.eclipse.jdt.internal.compiler.lookup.Scope.isDefinedInType:boolean(org.eclipse.jdt.internal.compiler.ast.ReferenceBinding)
isInsideCase,2,Some(2685),9,1,2,9,45,3,org.eclipse.jdt.internal.compiler.lookup.Scope.isInsideCase:boolean(org.eclipse.jdt.internal.compiler.ast.CaseStatement)
isInsideDeprecatedCode,1,Some(2699),34,4,5,34,114,9,org.eclipse.jdt.internal.compiler.lookup.Scope.isInsideDeprecatedCode:boolean()
leastContainingInvocation,4,Some(2726),54,9,7,54,194,11,org.eclipse.jdt.internal.compiler.lookup.Scope.leastContainingInvocation:org.eclipse.jdt.internal.compiler.ast.TypeBinding(org.eclipse.jdt.internal.compiler.ast.TypeBinding,java.util.Set,java.util.List)
leastContainingTypeArgument,6,Some(2763),111,10,22,111,438,25,org.eclipse.jdt.internal.compiler.lookup.Scope.leastContainingTypeArgument:org.eclipse.jdt.internal.compiler.ast.TypeBinding(org.eclipse.jdt.internal.compiler.ast.TypeBinding,org.eclipse.jdt.internal.compiler.ast.TypeBinding,org.eclipse.jdt.internal.compiler.ast.ReferenceBinding,int,java.util.List)
lowerUpperBound,2,Some(2843),11,3,2,11,46,1,org.eclipse.jdt.internal.compiler.lookup.Scope.lowerUpperBound:<unresolvedSignature>(1)
lowerUpperBound,3,Some(2853),83,15,10,83,305,21,org.eclipse.jdt.internal.compiler.lookup.Scope.lowerUpperBound:<unresolvedSignature>(2)
methodScope,1,Some(2911),6,1,2,6,32,2,org.eclipse.jdt.internal.compiler.lookup.Scope.methodScope:org.eclipse.jdt.internal.compiler.ast.MethodScope()
minimalErasedCandidates,3,Some(2929),196,31,7,196,654,58,org.eclipse.jdt.internal.compiler.lookup.Scope.minimalErasedCandidates:<unresolvedSignature>(2)
mostSpecificClassMethodBinding,4,Some(3100),34,4,3,34,124,10,org.eclipse.jdt.internal.compiler.lookup.Scope.mostSpecificClassMethodBinding:<unresolvedSignature>(3)
mostSpecificInterfaceMethodBinding,4,Some(3151),25,3,3,25,98,7,org.eclipse.jdt.internal.compiler.lookup.Scope.mostSpecificInterfaceMethodBinding:<unresolvedSignature>(3)
mostSpecificMethodBinding,5,Some(3168),145,16,2,145,426,39,org.eclipse.jdt.internal.compiler.lookup.Scope.mostSpecificMethodBinding:<unresolvedSignature>(4)
outerMostClassScope,1,Some(3250),8,2,1,8,37,2,org.eclipse.jdt.internal.compiler.lookup.Scope.outerMostClassScope:org.eclipse.jdt.internal.compiler.ast.ClassScope()
outerMostMethodScope,1,Some(3261),8,2,1,8,37,2,org.eclipse.jdt.internal.compiler.lookup.Scope.outerMostMethodScope:org.eclipse.jdt.internal.compiler.ast.MethodScope()
parameterCompatibilityLevel,3,Some(3272),89,14,8,89,299,19,org.eclipse.jdt.internal.compiler.lookup.Scope.parameterCompatibilityLevel:<unresolvedSignature>(2)
parameterCompatibilityLevel,4,Some(3335),12,1,3,12,52,3,org.eclipse.jdt.internal.compiler.lookup.Scope.parameterCompatibilityLevel:int(org.eclipse.jdt.internal.compiler.ast.TypeBinding,org.eclipse.jdt.internal.compiler.ast.TypeBinding,org.eclipse.jdt.internal.compiler.ast.LookupEnvironment)
problemReporter,1,Some(3347),0,0,0,0,8,0,org.eclipse.jdt.internal.compiler.lookup.Scope.problemReporter:org.eclipse.jdt.internal.compiler.problem.ProblemReporter()
referenceCompilationUnit,1,Some(3349),7,2,1,7,29,1,org.eclipse.jdt.internal.compiler.lookup.Scope.referenceCompilationUnit:org.eclipse.jdt.internal.compiler.ast.CompilationUnitDeclaration()
referenceContext,1,Some(3360),14,1,4,14,57,2,org.eclipse.jdt.internal.compiler.lookup.Scope.referenceContext:org.eclipse.jdt.internal.compiler.impl.ReferenceContext()
startIndex,1,Some(3376),0,0,1,0,8,0,org.eclipse.jdt.internal.compiler.lookup.Scope.startIndex:int()
<clinit>,0,Some(33),17,0,0,17,45,0,org.eclipse.jdt.internal.compiler.lookup.Scope.<clinit>:void()
<init>,2,Some(42),1,0,0,1,12,0,org.columba.addressbook.gui.frame.AddressbookFrameView.<init>:void(org.columba.core.gui.frame.FrameMediator)
createMenu,2,Some(50),4,1,1,4,22,0,org.columba.addressbook.gui.frame.AddressbookFrameView.createMenu:org.columba.core.gui.menu.Menu(org.columba.core.gui.frame.FrameMediator)
createToolbar,2,Some(61),6,1,1,6,26,0,org.columba.addressbook.gui.frame.AddressbookFrameView.createToolbar:org.columba.core.gui.toolbar.ToolBar(org.columba.core.gui.frame.FrameMediator)
init,3,Some(68),18,4,0,18,60,0,org.columba.addressbook.gui.frame.AddressbookFrameView.init:void(org.columba.addressbook.gui.tree.TreeView,org.columba.addressbook.gui.table.TableView)
<init>,1,Some(76),248,24,0,248,641,0,uci.uml.ui.TabConstraints.<init>:void()
setTarget,2,Some(153),31,3,1,31,89,3,uci.uml.ui.TabConstraints.setTarget:void(java.lang.Object)
getTarget,1,Some(173),1,0,1,1,11,0,uci.uml.ui.TabConstraints.getTarget:java.lang.Object()
shouldBeEnabled,1,Some(175),1,0,1,1,11,0,uci.uml.ui.TabConstraints.shouldBeEnabled:boolean()
updateEnabled,2,Some(181),38,0,0,38,98,0,uci.uml.ui.TabConstraints.updateEnabled:<unresolvedSignature>(1)
doAddButton,1,Some(202),0,0,0,0,7,0,uci.uml.ui.TabConstraints.doAddButton:void()
doRemoveButton,1,Some(204),0,0,0,0,7,0,uci.uml.ui.TabConstraints.doRemoveButton:void()
doDuplicateButton,1,Some(206),0,0,0,0,7,0,uci.uml.ui.TabConstraints.doDuplicateButton:void()
insertUpdate,2,Some(211),11,0,0,11,32,1,uci.uml.ui.TabConstraints.insertUpdate:<unresolvedSignature>(1)
removeUpdate,2,Some(219),1,0,0,1,12,0,uci.uml.ui.TabConstraints.removeUpdate:<unresolvedSignature>(1)
changedUpdate,2,Some(221),5,0,0,5,18,0,uci.uml.ui.TabConstraints.changedUpdate:<unresolvedSignature>(1)
actionPerformed,2,Some(227),35,3,1,35,115,11,uci.uml.ui.TabConstraints.actionPerformed:void(java.awt.event.ActionEvent)
valueChanged,2,Some(246),22,2,0,22,61,2,uci.uml.ui.TabConstraints.valueChanged:<unresolvedSignature>(1)
<init>,1,Some(78),0,0,0,0,7,0,org.apache.tomcat.request.FixHeaders.<init>:void()
beforeBody,3,Some(81),45,6,1,45,130,5,org.apache.tomcat.request.FixHeaders.beforeBody:<unresolvedSignature>(2)
<init>,1,Some(100),179,5,0,179,452,0,org.argouml.uml.diagram.ui.FigAssociation.<init>:void()
<init>,3,Some(171),3,0,0,3,19,0,org.argouml.uml.diagram.ui.FigAssociation.<init>:void(java.lang.Object,org.tigris.gef.base.Layer)
setOwner,2,Some(177),54,6,0,54,137,4,org.argouml.uml.diagram.ui.FigAssociation.setOwner:void(java.lang.Object)
textEdited,2,Some(211),31,4,2,31,89,4,org.argouml.uml.diagram.ui.FigAssociation.textEdited:void(org.tigris.gef.presentation.FigText)
updateEnd,5,Some(230),20,4,0,20,72,2,org.argouml.uml.diagram.ui.FigAssociation.updateEnd:void(org.tigris.gef.presentation.FigText,org.tigris.gef.presentation.FigText,org.tigris.gef.presentation.FigText,ru.novosoft.uml.foundation.core.MAssociationEnd)
modelChanged,1,Some(244),55,5,1,55,139,2,org.argouml.uml.diagram.ui.FigAssociation.modelChanged:void()
chooseArrowHead,3,Some(277),30,1,1,30,112,12,org.argouml.uml.diagram.ui.FigAssociation.chooseArrowHead:org.tigris.gef.presentation.ArrowHead(ru.novosoft.uml.foundation.data_types.MAggregationKind,boolean)
getPopUpActions,2,Some(302),109,16,1,109,300,8,org.argouml.uml.diagram.ui.FigAssociation.getPopUpActions:java.util.Vector(java.awt.event.MouseEvent)
getOrderingName,2,Some(380),8,0,4,8,39,3,org.argouml.uml.diagram.ui.FigAssociation.getOrderingName:java.lang.String(ru.novosoft.uml.foundation.data_types.MOrderingKind)
paint,2,Some(389),18,0,0,18,52,2,org.argouml.uml.diagram.ui.FigAssociation.paint:void(java.awt.Graphics)
delete,1,Some(405),14,3,0,14,44,2,org.argouml.uml.diagram.ui.FigAssociation.delete:void()
<clinit>,0,Some(70),18,0,0,18,44,0,org.argouml.uml.diagram.ui.FigAssociation.<clinit>:void()
<init>,2,Some(126),138,8,0,138,305,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.<init>:void(org.columba.core.config.ViewItem)
enableMessagePreview,2,Some(209),35,0,0,35,103,3,org.columba.mail.gui.frame.ThreePaneMailFrameController.enableMessagePreview:void(boolean)
getFilterToolbar,1,Some(238),1,0,1,1,11,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.getFilterToolbar:org.columba.mail.gui.table.FilterToolbar()
getTreeController,1,Some(245),1,0,1,1,11,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.getTreeController:org.columba.mail.gui.tree.ITreeController()
getTableController,1,Some(252),1,0,1,1,11,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.getTableController:org.columba.mail.gui.table.ITableController()
showFilterToolbar,1,Some(266),6,0,0,6,21,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.showFilterToolbar:void()
hideFilterToolbar,1,Some(272),5,0,0,5,18,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.hideFilterToolbar:void()
getString,4,Some(298),1,0,1,1,19,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.getString:java.lang.String(java.lang.String,java.lang.String,java.lang.String)
selectionChanged,2,Some(311),61,7,0,61,172,10,org.columba.mail.gui.frame.ThreePaneMailFrameController.selectionChanged:void(org.columba.api.selection.SelectionChangedEvent)
mousePressed,2,Some(372),2,0,0,2,16,1,org.columba.mail.gui.frame.ThreePaneMailFrameController$TableMouseListener.mousePressed:void(java.awt.event.MouseEvent)
mouseReleased,2,Some(381),2,0,0,2,16,1,org.columba.mail.gui.frame.ThreePaneMailFrameController$TableMouseListener.mouseReleased:void(java.awt.event.MouseEvent)
mouseClicked,2,Some(390),26,5,0,26,74,3,org.columba.mail.gui.frame.ThreePaneMailFrameController$TableMouseListener.mouseClicked:void(java.awt.event.MouseEvent)
processPopup,2,Some(418),22,5,0,22,68,1,org.columba.mail.gui.frame.ThreePaneMailFrameController$TableMouseListener.processPopup:void(java.awt.event.MouseEvent)
<init>,2,Some(367),2,0,0,2,14,0,org.columba.mail.gui.frame.ThreePaneMailFrameController$TableMouseListener.<init>:void()
run,1,Some(435),15,0,0,15,37,0,org.columba.mail.gui.frame.ThreePaneMailFrameController$TableMouseListener.processPopup.Runnable$0.run:void()
<init>,3,Some(433),4,0,0,4,21,0,org.columba.mail.gui.frame.ThreePaneMailFrameController$TableMouseListener.processPopup.Runnable$0.<init>:void()
mousePressed,2,Some(449),2,0,0,2,16,1,org.columba.mail.gui.frame.ThreePaneMailFrameController$TreeMouseListener.mousePressed:void(java.awt.event.MouseEvent)
mouseReleased,2,Some(458),2,0,0,2,16,1,org.columba.mail.gui.frame.ThreePaneMailFrameController$TreeMouseListener.mouseReleased:void(java.awt.event.MouseEvent)
mouseClicked,2,Some(467),2,0,0,2,15,1,org.columba.mail.gui.frame.ThreePaneMailFrameController$TreeMouseListener.mouseClicked:void(java.awt.event.MouseEvent)
processPopup,2,Some(475),20,3,0,20,57,0,org.columba.mail.gui.frame.ThreePaneMailFrameController$TreeMouseListener.processPopup:void(java.awt.event.MouseEvent)
<init>,2,Some(444),2,0,0,2,14,0,org.columba.mail.gui.frame.ThreePaneMailFrameController$TreeMouseListener.<init>:void()
run,1,Some(486),15,0,0,15,37,0,org.columba.mail.gui.frame.ThreePaneMailFrameController$TreeMouseListener.processPopup.Runnable$0.run:void()
<init>,3,Some(484),4,0,0,4,21,0,org.columba.mail.gui.frame.ThreePaneMailFrameController$TreeMouseListener.processPopup.Runnable$0.<init>:void()
close,2,Some(498),11,2,0,11,40,2,org.columba.mail.gui.frame.ThreePaneMailFrameController.close:void(org.columba.api.gui.frame.IContainer)
loadDefaultPosition,1,Some(516),18,0,0,18,57,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.loadDefaultPosition:void()
registerDockables,1,Some(529),60,10,0,60,180,4,org.columba.mail.gui.frame.ThreePaneMailFrameController.registerDockables:void()
extendMenu,2,Some(586),4,1,0,4,25,2,org.columba.mail.gui.frame.ThreePaneMailFrameController.extendMenu:void(org.columba.api.gui.frame.IContainer)
extendToolBar,2,Some(596),11,3,0,11,41,2,org.columba.mail.gui.frame.ThreePaneMailFrameController.extendToolBar:void(org.columba.api.gui.frame.IContainer)
getMessageViewerDockable,1,Some(611),1,0,1,1,11,0,org.columba.mail.gui.frame.ThreePaneMailFrameController.getMessageViewerDockable:org.columba.api.gui.frame.IDockable()
<init>,4,Some(21),59,9,0,59,179,12,DNS.Zone.<init>:void(java.lang.String,int,DNS.Zone)
findName,2,Some(66),3,0,1,3,17,0,DNS.Zone.findName:<unresolvedSignature>(1)
getOrigin,1,Some(71),1,0,1,1,11,0,DNS.Zone.getOrigin:<unresolvedSignature>(0)
getNS,1,Some(76),9,2,1,9,31,0,DNS.Zone.getNS:<unresolvedSignature>(0)
getSOA,1,Some(82),14,4,1,14,43,0,DNS.Zone.getSOA:<unresolvedSignature>(0)
parseOrigin,2,Some(90),4,1,1,4,19,0,DNS.Zone.parseOrigin:<unresolvedSignature>(1)
parseRR,5,Some(95),34,6,1,34,121,9,DNS.Zone.parseRR:<unresolvedSignature>(4)
addRR,2,Some(133),39,4,0,39,102,2,DNS.Zone.addRR:void(java.lang.Record)
<clinit>,0,Some(11),6,0,0,6,19,0,DNS.Zone.<clinit>:void()
<init>,2,Some(56),16,0,0,16,39,0,uci.uml.ui.TreeModelComposite.<init>:void(java.lang.String)
<init>,3,Some(58),3,0,0,3,19,0,uci.uml.ui.TreeModelComposite.<init>:void(java.lang.String,java.util.Vector)
setFlat,2,Some(67),5,0,0,5,24,1,uci.uml.ui.TreeModelComposite.setFlat:void(boolean)
getFlat,1,Some(72),1,0,1,1,11,0,uci.uml.ui.TreeModelComposite.getFlat:boolean()
