method_name,num_params,line_number,num_calls,num_locals,num_returns,num_invocations,body_size,num_control_structures,full_name
setCreationDate,2,Some(228),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.setCreationDate:void(java.util.Date)
getBalance,1,Some(232),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.getBalance:java.math.BigDecimal()
setBalance,2,Some(236),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.setBalance:void(java.math.BigDecimal)
getOpenBalance,1,Some(240),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.getOpenBalance:java.math.BigDecimal()
setOpenBalance,2,Some(244),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.setOpenBalance:void(java.math.BigDecimal)
getProfileID,1,Some(248),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.getProfileID:java.lang.String()
setProfileID,2,Some(252),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.setProfileID:void(java.lang.String)
getOrders,1,Some(256),11,3,1,11,36,1,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.getOrders:java.util.Collection()
setOrders,2,Some(264),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.setOrders:void(java.util.Collection)
getHoldings,1,Some(268),11,3,1,11,36,1,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.getHoldings:java.util.Collection()
setHoldings,2,Some(276),2,0,0,2,14,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.setHoldings:void(java.util.Collection)
getProfile,1,Some(280),1,0,1,1,11,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.getProfile:org.apache.aries.samples.ariestrader.api.persistence.AccountProfileDataBean()
setProfile,2,Some(284),3,0,0,3,16,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.setProfile:void(org.apache.aries.samples.ariestrader.api.persistence.AccountProfileDataBean)
login,2,Some(288),30,4,0,30,76,1,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.login:void(java.lang.String)
logout,1,Some(302),3,0,0,3,13,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.logout:void()
hashCode,1,Some(306),7,1,1,7,27,0,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.hashCode:int()
equals,2,Some(313),15,1,3,15,52,2,org.apache.aries.samples.ariestrader.entities.AccountDataBeanImpl.equals:boolean(java.lang.Object)
<init>,2,Some(100),1,0,0,1,12,0,org.apache.derbyTesting.functionTests.tests.jdbcapi.JDBCHarnessJavaTest.<init>:void(java.lang.String)
getArea,1,Some(104),0,0,1,0,9,0,org.apache.derbyTesting.functionTests.tests.jdbcapi.JDBCHarnessJavaTest.getArea:java.lang.String()
suite,0,Some(108),17,1,1,17,48,1,org.apache.derbyTesting.functionTests.tests.jdbcapi.JDBCHarnessJavaTest.suite:junit.framework.Test()
baseSuite,2,Some(124),14,2,1,14,48,1,org.apache.derbyTesting.functionTests.tests.jdbcapi.JDBCHarnessJavaTest.baseSuite:junit.framework.Test(java.lang.String,java.lang.String[])
<clinit>,0,Some(42),9,0,0,9,31,0,org.apache.derbyTesting.functionTests.tests.jdbcapi.JDBCHarnessJavaTest.<clinit>:void()
setEigensToVerify,2,Some(98),2,0,0,2,14,0,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.setEigensToVerify:void(org.apache.mahout.math.VectorIterable)
run,2,Some(102),22,3,3,22,75,2,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.run:int(java.lang.String[])
run,9,Some(135),32,4,1,32,110,1,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.run:int(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path,double,double,boolean,org.apache.hadoop.conf.Configuration)
handleArgs,2,Some(170),13,0,1,13,59,0,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.handleArgs:java.util.Map(java.lang.String[])
